Task,Component,Task Schedulable,Avg Response Time,Max Response Time,Component Schedulable
Task_12,Lidar_Sensor,False,57.38,96.00,False
Task_13,Lidar_Sensor,True,41.48,51.00,False
Task_14,Lidar_Sensor,False,112.00,112.00,False
Task_15,Lidar_Sensor,False,0.00,0.00,False
Task_16,Control_Unit,True,8.00,28.00,True
Task_17,Control_Unit,True,14.89,24.00,True
Task_18,Control_Unit,True,8.67,9.00,True
Task_19,Control_Unit,True,27.53,41.00,True
Task_20,Control_Unit,True,165.75,176.00,True
Task_21,Control_Unit,True,7.32,8.00,True
