Task,Component,Task Schedulable,Avg Response Time,Max Response Time,Component Schedulable
Task_0,Camera_Sensor,True,19.33,22.00,True
Task_1,Camera_Sensor,True,10.44,12.00,True
Task_2,Camera_Sensor,True,132.67,139.00,True
Task_3,Camera_Sensor,True,9.11,12.00,True
Task_4,Camera_Sensor,True,416.00,416.00,True
Task_5,Image_Processor,True,6.56,7.00,True
Task_6,Image_Processor,True,6.06,7.00,True
Task_7,Image_Processor,True,42.08,54.00,True
Task_8,Lidar_Sensor,True,3.42,4.00,True
Task_9,Lidar_Sensor,True,39.56,59.00,True
Task_10,Lidar_Sensor,True,9.67,10.00,True
Task_11,Lidar_Sensor,True,72.67,104.00,True
Task_12,Control_Unit,True,11.25,30.00,False
Task_13,Control_Unit,True,9.40,12.00,False
Task_14,Control_Unit,True,33.33,67.00,False
Task_15,Control_Unit,True,11.64,20.00,False
Task_16,Control_Unit,True,15.21,34.00,False
Task_17,Control_Unit,False,51.44,88.00,False
